kū,kū<n>,kū<n>,CORRECT
zindagi,zindagi<n>,zindagi<n>,CORRECT
kū,kū<n>,kū<n>,CORRECT
qišloq,qišloq<n>,qišloq<n>,CORRECT
ɣulā,ɣulā<n>,ɣulā<adj>/ɣulā<n>,CORRECT
tīramo,tīramo<n>,tīr<adj>>амо<n>/tīramo<n>,CORRECT
boǰak,boǰak<n>,boǰ<n>><dim>/boǰ<n>><dim>/boǰak<n>/boǰak<n>,CORRECT
qišloq,qišloq<n>,qišloq<n>,CORRECT
boǰak,boǰak<n>,boǰ<n>><dim>/boǰ<n>><dim>/boǰak<n>/boǰak<n>,CORRECT
qišloq,qišloq<n>,qišloq<n>,CORRECT
mardum,mardum<n>,mard<adj>><1sg>/mard<n>><1sg>/mardum<n>,CORRECT
x̌oǰ,x̌oǰ<n>,x̌oǰ<n>/x̌oǰ<n>,CORRECT
čīraθ,čīr<pro>><int>,čīr<pro>><int>/čīr<pro>><int>,CORRECT
mūysafedik,mūysafed<n>><dim>,mūysafed<adj>><dim>/mūysafed<n>><dim>,CORRECT
cimūd,cimūd<n>,cimūd<n>,CORRECT
boǰak,boǰak<n>,boǰ<n>><dim>/boǰ<n>><dim>/boǰak<n>/boǰak<n>,CORRECT
fukaθ,fuk<pro>><int>,fuk<pro>><int>/fukaθ<pro>/fukaϑ<pro>,CORRECT
biɣ̌ent,biɣ̌en<v>><prs><3sg>,biɣ̌en<v><prs>><2sg>/biɣ̌en<v><prs>><3sg>/biɣ̌ent<v><inf>/biɣ̌ent<v><pst>,CORRECT
boǰak,boǰak<n>,boǰ<n>><dim>/boǰ<n>><dim>/boǰak<n>/boǰak<n>,CORRECT
cimūd,cimūd<n>,cimūd<n>,CORRECT
cimūd,cimūd<n>,cimūd<n>,CORRECT
dām,dām<n>,dā<num>><ord>/dām<n>/dām<v><prs>,CORRECT
sent-at,sen<v>><prs><3sg>><coord2>,sen<v><prs>><2sg>><2sg>/sen<v><prs>><2sg>><coord2>/sen<v><prs>><3sg>><coord2>/sent<v><inf>><2sg>/sent<v><inf>><coord2>/sent<v><pst>><2sg>/sent<v><pst>><coord2>,CORRECT
boǰak,boǰak<n>,boǰ<n>><dim>/boǰ<n>><dim>/boǰak<n>/boǰak<n>,CORRECT
fukaθ,fuk<pro>><int>,fuk<pro>><int>/fukaθ<pro>/fukaϑ<pro>,CORRECT
xoli,xoli<n>,xol<n>><3sg>/xoli<adj>/xoli<n>,CORRECT
boǰak,boǰak<n>,boǰ<n>><dim>/boǰ<n>><dim>/boǰak<n>/boǰak<n>,CORRECT
xoli,xoli<n>,xol<n>><3sg>/xoli<adj>/xoli<n>,CORRECT
qār,qār<n>,qār<n>,CORRECT
cimūd,cimūd<n>,cimūd<n>,CORRECT
tuk-tukak,tuk<n><redup>><dim>,tuk-tuk<adj>><dim>/tuk-tukak<adj>,FAIL
kū,kū<n>,kū<n>,CORRECT
rūz-and,rūz<n>><loc>,rūz<n>><loc>,CORRECT
qišloq,qišloq<n>,qišloq<n>,CORRECT
mardum,mardum<n>,mard<adj>><1sg>/mard<n>><1sg>/mardum<n>,CORRECT
mūysafedik,mūysafed<n>><dim>,mūysafed<adj>><dim>/mūysafed<n>><dim>,CORRECT
duzd,duzd<n>,duzd<n>,CORRECT
