wordform,tagged
rūzo,rūzo<n>
vud,vu<v><m><pst>
idi,idi<cnj><compl>
yi,yi<pro><indef>
čorik=i,čorik<n><3sg>
sifīδǰ,sifīδ<v><pf>
pi,pi<prep><up>
daraxt,daraxt<n>
xu,xu<cnj><coord1>
pi,pi<prep><up>
xu,xu<pro><refl>
boɣ=and,boɣ<n><loc>
xu,xu<cnj><coord1>
xušrūy,xušrūy<n>
boɣ,boɣ<n>
wind,wi<dem><d3><m><sg><o><loc>
vuδǰ,vuδ<v><pf><m>
ɣulā,ɣulā<n>
boɣ,boɣ<n>
xu,xu<cnj><coord1>
yu,yu<dem><d3><m><sg>
sifīδǰ,sifīδ<v><pf><m>
pi,pi<prep><up>
daraxt,daraxt<n>
xu,xu<cnj><coord1>
xoyix̌=i,xoyix̌<n><3sg>
čūǰ,čū<v><pf>
aro,aro<prt><adr>
az,az<prep><el>
kayůn=o…,kayůn<n><coord3>
nok,nok<n>
daraxt=ti,daraxt<n><sup>
noken,nok<n><pl>
xurd,xu<pro><refl><lat>
zex̌tow,zex̌<v><inf><purp>
sabad=and,sabad<n><loc>
xurd,xu<pro><refl><lat>
xīdowra.,xī<v><inf><purp><lat>
nū,nū<prt><hez>
vobšêm,vobšêm<prt><hez>
xurd,xu<pro><refl><lat>
yi,yi<pro><indef>
xulosa…,xulosa<n>
bād=i,bād<n><3sg>
zox̌č,zox̌<v><pf>
padam,pad-<><up><d3>
sifīδǰ,sifīδ<v><pf><m>
xu,xu<cnj><coord1>
bād=i,bād<n><3sg>
čūx̌č,čūx̌<v><pf>
idi,idi<cnj><compl>
čīz,čīz<n>
yamand,yam<dem><d1><sg><loc>
vaz=ga,vaz<n><add1>
vīsčin,vīs<v><pf><ptcp1>
tar,tar<prep><eq>
iga,i<pro><indef><add1>
daraxt,daraxt<n>
aro,aro<prt><adr>
daraxt,daraxt<n>
xez=and,xez<post><apud><loc>
wi,wi<dem><d3><m><sg><o>
daraxt,daraxt<n>
iku,ik-<><emph><d3><m><sg>
padam,pad-<><up><d3>
ca,ca<cnj><subd>
sifīδǰ,sifīδ<v><pf><m>
ikwam,ik-<><emph><d3><f><sg><o>
xez=and.,xez<post><apud><loc>
bād,bād<n>
azam=ti,az-<><el><d3><sup>
xāfct,xāfc<v><prs><3sg>
idi,idi<cnj><compl>
daraxten…,daraxt<n><pl>
pi,pi<prep><up>
daraxt,daraxt<n>
ca,ca<cnj><subd>
sifīnt,sifīn<v><prs><3sg>
wev,wev<dem><d3><pl><o>
noken,nok<n><pl>
xurd,xu<pro><refl><lat>
ca,ca<cnj><subd>
zêzd,zêz<v><prs><3sg>
sabaden,sabad<n><pl>
wiǰa,wi<dem><d3><m><sg><o><p><loc>
ara,ara<num>
důnā.,důnā<n>
bād,bād<n>
yi,yi<pro><indef>
rāguzar,rāguzar<n>
yoδd,yoδ<v><prs><3sg>
yi,yi<pro><indef>
ɣiδabucak,ɣiδa-<n><m><dim>
yoδd,yoδ<v><prs><3sg>
tar,tar<prep><eq>
wi,wi<dem><d3><m><sg><o>
xez,xez<post><apud>
xu,xu<cnj><coord1>
ikamva,ik-<><emph><d3><prol>
tar,tar<prep><eq>
wi,wi<dem><d3><m><sg><o>
boɣ,boɣ<n>
deδd,deδ<v><prs><3sg>
xu,xu<cnj><coord1>
wi,wi<dem><d3><m><sg><o>
boɣ,boɣ<n>
půndtiyaθ,půnd<n><sup><adv>
vuδǰ,vuδ<v><pf><m>
bād,bād<n>
lůvd,lův<v><prs><3sg>
idi,idi<cnj><compl>
ku,ku<prt><ptcl>
tar,tar<prep><eq>
mu,mu<pers><prn><1sg><o>
dev,dev<dem><d2><pl><o>
δuga,δu<num><add1>
sabad,sabad<n>
dāk,dāk<v>
xu,xu<cnj><coord1>
yu,yu<dem><d3><m><sg>
bād,bād<n>
δuga,δu<num><add1>
sabad,sabad<n>
